USER    ,    PID,   PPID,    ELAPSED,%CPU,COMMAND                    ,COMMAND
paucabr+,   1069,      1, 1-18:44:00, 0.0,/lib/systemd/systemd --user,systemd
paucabr+,   1070,   1069, 1-18:44:00, 0.0,(sd-pam)                   ,(sd-pam)
paucabr+,   1080,   1069, 1-18:44:00, 0.8,/usr/bin/pulseaudio --daemo,pulseaudio
paucabr+,   1083,      1, 1-18:43:59, 0.0,/usr/bin/gnome-keyring-daem,gnome-keyring-d
paucabr+,   1086,   1059, 1-18:43:59, 0.0,x-session-manager          ,x-session-manag
paucabr+,   1094,   1069, 1-18:43:59, 0.0,/usr/bin/dbus-daemon --sess,dbus-daemon
paucabr+,   1115,   1069, 1-18:43:56, 0.0,/usr/lib/dconf/dconf-servic,dconf-service
paucabr+,   1127,   1086, 1-18:43:56, 0.0,/usr/bin/ssh-agent x-sessio,ssh-agent
paucabr+,   1128,   1069, 1-18:43:55, 0.0,/usr/lib/at-spi2-core/at-sp,at-spi-bus-laun
paucabr+,   1133,   1128, 1-18:43:55, 0.0,/usr/bin/dbus-daemon --conf,dbus-daemon
paucabr+,   1140,   1086, 1-18:43:54, 0.0,/usr/bin/mate-settings-daem,mate-settings-d
paucabr+,   1142,   1069, 1-18:43:54, 0.0,/usr/lib/at-spi2-core/at-sp,at-spi2-registr
paucabr+,   1148,   1086, 1-18:43:53, 0.1,marco                      ,marco
paucabr+,   1149,   1069, 1-18:43:53, 0.0,/usr/lib/gvfs/gvfsd        ,gvfsd
paucabr+,   1168,   1086, 1-18:43:51, 0.0,mate-panel                 ,mate-panel
paucabr+,   1181,      1, 1-18:43:48, 0.0,syndaemon -i 0.5 -K -R     ,syndaemon
paucabr+,   1182,   1086, 1-18:43:48, 0.0,caja                       ,caja
paucabr+,   1183,   1069, 1-18:43:47, 0.0,/usr/lib/gvfs/gvfs-udisks2-,gvfs-udisks2-vo
paucabr+,   1188,   1069, 1-18:43:47, 0.0,/usr/lib/gvfs/gvfs-goa-volu,gvfs-goa-volume
paucabr+,   1192,   1069, 1-18:43:47, 0.0,/usr/lib/gvfs/gvfs-afc-volu,gvfs-afc-volume
paucabr+,   1197,   1069, 1-18:43:46, 0.0,/usr/lib/gvfs/gvfs-gphoto2-,gvfs-gphoto2-vo
paucabr+,   1198,   1086, 1-18:43:46, 0.0,nm-applet                  ,nm-applet
paucabr+,   1199,   1086, 1-18:43:46, 0.0,/usr/bin/python3 /usr/share,applet.py
paucabr+,   1201,   1086, 1-18:43:46, 0.0,/usr/bin/python3 /usr/bin/b,blueman-applet
paucabr+,   1216,   1086, 1-18:43:46, 0.0,/usr/lib/x86_64-linux-gnu/p,polkit-mate-aut
paucabr+,   1227,   1086, 1-18:43:46, 0.0,/usr/libexec/geoclue-2.0/de,agent
paucabr+,   1228,   1069, 1-18:43:46, 0.0,/usr/lib/gvfs/gvfs-mtp-volu,gvfs-mtp-volume
paucabr+,   1233,   1069, 1-18:43:45, 0.0,/usr/lib/x86_64-linux-gnu/b,brisk-menu
paucabr+,   1249,   1086, 1-18:43:43, 0.0,mate-power-manager         ,mate-power-mana
paucabr+,   1257,   1086, 1-18:43:43, 0.0,mate-volume-control-status-,mate-volume-con
root    ,   1273,      1, 1-18:43:43, 0.0,/usr/lib/upower/upowerd    ,upowerd
paucabr+,   1306,   1069, 1-18:43:40, 0.0,/usr/bin/mate-screensaver -,mate-screensave
paucabr+,   1321,   1149, 1-18:43:38, 0.0,/usr/lib/gvfs/gvfsd-trash -,gvfsd-trash
paucabr+,   1331,      1, 1-18:43:35, 0.0,/usr/bin/python3 /usr/bin/b,blueman-tray
paucabr+,   1348,   1069, 1-18:43:34, 0.0,/usr/lib/bluetooth/obexd   ,obexd
paucabr+,   1359,   1069, 1-18:43:32, 0.0,/usr/lib/gvfs/gvfsd-metadat,gvfsd-metadata
paucabr+,   1377,   1069, 1-18:43:12, 0.1,/usr/lib/mate-panel/wnck-ap,wnck-applet
